"CourseID","Descr"
"000026","This course provides an introduction to accounting principles underlying the preparation of financial reports with an emphasis on the relationship between accounting information and production decisions. It examines the relationship between costs, production volume, and profit, as well as the practical benefits of standard costs for planning and control purposes. The role of accounting information in various manufacturing decisions is also highlighted.NOTE: This course would be useful to Engineering students.NOTE: JMSB students may not take this course for credit.NOTE: Students who have received credit for ACCO 230, 240 may not take this course for credit."
"000027","This course provides an introduction to accounting concepts underlying financial statements of organizations. It focuses on the analysis, measurement, and reporting of business transactions to users of financial statements. It also examines the uses and limitations of accounting information for investment and credit decisions.NOTE: JMSB students may not take this course for credit.""NOTE: Students who receive a grade of """"C"""" or better may be exempt from COMM 217.""NOTE: Students who have received credit for ACCO 220 may not take this course for credit."
"000028","This course examines the role of accounting information for decision making, and focuses on concepts and techniques used in planning operations, controlling activities, and evaluating managerial performance. New developments are addressed with a focus on contemporary business issues and real-world applicability of management accounting concepts and techniques.Prerequisite: ACCO 230.NOTE: JMSB students may not take this course for credit.NOTE: Students who receive a passing grade may be exempt from COMM 305.NOTE: Students who have received credit for ACCO 220 may not take this course for credit."
"000035","Intensive study is made of the theory and practice of external financial reporting by business organizations, focusing on concepts and procedures underlying the measurement of assets and the determination of income.Prerequisite: COMM 305 previously or concurrently."
"000043","This course continues the intensive study of ACCO 310, with particular emphasis on accounting for liabilities, shareholders' equity, and other related topics such as earnings per share, pension accounting, and accounting for income taxes.Prerequisite: ACCO 310."
"000053","This course provides an examination of the techniques, systems, and procedures applicable to the managerial use of accounting information for planning, decision-making, and control. Topics include cost accumulation and allocation, product and process costing, flexible budgeting and variance analysis, evaluation of managerial performance, and transfer pricing.Prerequisite: COMM 305."
"000055","This course provides core knowledge regarding the federal income tax structure and the Canadian goods and services tax system. It examines the taxation of employment, business, property income, capital gains and other sources of income for an individual.Prerequisite: COMM 217."
"000057","This course examines the role of computerized accounting information systems (AIS) in organizations. Students learn how to justify, design, and utilize AIS to provide pertinent information to managers for decision making. The course helps to identify appropriate usage of information technology in specific accounting contexts. Topics include e-business, computer fraud, information systems security and controls, systems analysis, and management of information technology.Prerequisite: COMM 226 or 301, COMM 305"
"000058","This course explores the usefulness and limitations of financial statements for investment and credit decisions. It focuses on the interpretation of the information contained in financial statements which reflect the economic characteristics of the firm and its strategic business decisions. Instruments and techniques for financial statement analysis are discussed and applied to case studies and actual companies.Prerequisite: COMM 305, 308.NOTE: This course would be useful for students in Finance and Management."
"000059","This course familiarizes the student with individual and corporate taxation in the U.S. The use of professional judgment in the application of tax planning recommendations is also addressed in this course.Prerequisite: COMM 217 or ACCO 230.NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit."
"000060","This course examines the theoretical foundations of the contemporary approach to financial reporting, and the political and pragmatic considerations in the development of the conceptual framework underlying current accounting standards. Alternative theories of accounting are discussed and controversial areas are emphasized.Prerequisite: ACCO 320."
"000086","This course examines the theory and practice of accounting for intercorporate investments, business combinations, consolidation of financial statements, and foreign currency transactions and operations.Prerequisite: ACCO 320."
"000089","Please see UGRD Calendar"
"000092","The course examines the integrative and interdisciplinary role of management accounting and its contribution to the complex management process. The course focuses on cases that deal with strategic issues in management accounting and management's need for both quantitative and qualitative information for planning, control, performance evaluation and decision making.Prerequisite: ACCO 330."
"000097","Please see UGRD Calendar"
"000098","This course provides core knowledge regarding the federal taxation of corporations, partnerships, and trusts. It introduces analytical skills needed to make decisions regarding various business transfers, combinations, incorporation and estate planning issues for corporations and shareholders.Prerequisite: ACCO 340."
"000104","This course examines the concepts and current standards of various assurance services, especially the audit of financial statements. It emphasizes the audit process and the role of the public accountant in expressing an opinion on the financial statements of an organization.Prerequisite: ACCO 320 previously or concurrently."
"000106","This course examines the principles of and methodology used in fraud detection and deterrence. Topics covered may include skimming, cash larceny, cheque tampering, billing, payroll and expense reimbursement schemes, non-cash misappropriations, corruption, fraudulent financial statements, conducting investigations and interviewing witnesses. This course may also examine auditors' legal responsibilities towards fraud, the evaluation of internal controls and important pieces of legislation such as the Sarbanes-Oxley Act and the Criminal Code. Finally, the ethical aspects associated with fraud are discussed. Class sessions consist of lectures, real-life fraud case discussions and the presentation of DVDs from the Association of Certified Fraud Examiners.Prerequisite: COMM 217, 315.NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit."
"000109","This course covers important topics and concepts in auditing and assurance services. It builds on audit principles covered in previous courses and introduces specialized and advanced topics that are of particular importance to professional accountants. In covering topics and their application, the course focuses on decision-making processes followed by auditors. The course embraces the requirements of the CA Student Competency Map for assurance and the CGA Modules and Readings AU2.Prerequisite: ACCO 320, 360; or ACCO 450.NOTE: Students who have received credit for this topic under an ACCO 470 number may not take this course for credit."
"000173","Please see GRAD Calendar"
"000174","Please see GRAD Calendar"
"000178","Please see GRAD Calendar"
"000182","Please see GRAD Calendar"
"000185","Please see GRAD Calendar"
"000186","Please see GRAD Calendar"
"000187","Please see GRAD Calendar"
"000189","Please see GRAD Calendar"
"000190","Please see GRAD Calendar"
"000191","Please see GRAD Calendar"
"000235","Measurement of interest; annuities and perpetuities; amortization and sinking funds; rates of return; bonds and related securities; life insurance.Prerequisite: MATH 264 previously or concurrently; and permission of the Department.NOTE: Students who have received credit for MATH 326 may not take this course for credit.NOTE: Only three credits will be awarded from ACTU 256; MAST 335."
"000236","Measurement of mortality; pure endowments; life insurance; net single premiums; life annuities; net annual premiums; special topics.Prerequisite: ACTU 256.NOTE: Students who have received credit for MATH 327 may not take this course for credit."
"000237","This lab features problem-solving sessions for the professional examination on financial mathematics of the Society of Actuaries and the Casualty Actuarial Society.NOTE: Students who have received credit for MATH 229 may not take this course for credit."
