"CourseID","Subject","Catalog","LongTitle","ClassUnits","ComponentCode","ComponentDescr","PreRequisiteDescription","Career","EquivalentCourses"
"000026","ACCO","220","Financial and Managerial Accounting","3.00","LEC","Lecture","   Never Taken/Not Registered: ACCO213, ACCO218, ACCO230, ACCO240","UGRD",""
"000027","ACCO","230","Introduction to Financial Accounting","3.00","LEC","Lecture","   Never Taken/Not Registered: ACCO213, ACCO220, COMM217; Never Taken: ACCO240, ACCO340, ACCO345, ACCO365, ACCO455, ACCO470F, ACCO470I, ACCO470S, ACCO470T, COMM305, COMM308, IBUS471I","UGRD",""
"000028","ACCO","240","Introduction to Managerial Accounting","3.00","LEC","Lecture","   Never Taken/Not Registered: ACCO218, ACCO220, COMM305; Never Taken: ACCO310, ACCO330, ACCO350, ACCO355, ACCO470I, IBUS462, IBUS471I, MARK462 You must complete 1 of the following rules   Course Prerequisite: ACCO213, ACCO230","UGRD",""
"000035","ACCO","310","Financial Reporting I","3.00","LEC","Lecture","Course Corequisite: One of (COMM305, ACCO218, ACCO240)  Never Taken: ACCO320, ACCO350","UGRD","ACCO 310 = ACCO 323"
"000043","ACCO","320","Financial Reporting II","3.00","LEC","Lecture","Course Prerequisite: One of (ACCO310, ACCO323) Never Taken: ACCO326; ACCO410, ACCO420, ACCO400, ACCO450, ACCO460","UGRD","ACCO 320 = ACCO 326"
"000053","ACCO","330","Cost and Management Accounting","3.00","LEC","Lecture","Course Prerequisite: One of (ACCO218, COMM305, ACCO240) Never Taken ACCO303; ACCO430, ACCO470A","UGRD","ACCO 303 = ACCO 330"
"000055","ACCO","340","Income Taxation in Canada","3.00","LEC","Lecture","Course Prerequisite: One of (ACCO213, COMM217, ACCO230) Never Taken: ACCO441;  ACCO440","UGRD","ACCO 340 = ACCO 441"
"000057","ACCO","350","Accounting and Information Technology","3.00","LEC","Lecture","Course Prerequisite: One of (ACCO218, COMM305, ACCO240)  One of (COMM226, COMM301) Never Taken: ACCO414","UGRD","ACCO 350 = ACCO 414"
"000058","ACCO","355","Analysis of Financial Statements","3.00","LEC","Lecture","The following courses must be completed previously: COMM 305; COMM 308 or COMM 309","UGRD",""
"000059","ACCO","365","U.S. Federal Taxation","3.00","LEC","Lecture","Course Prerequisite: One of (COMM217, ACCO230)","UGRD","ACCO 365 = ACCO 470T"
"000060","ACCO","400","Accounting Theory","3.00","LEC","Lecture","Course Prerequisite: One of (ACCO320, ACCO326) Never Taken: ACCO461","UGRD","ACCO 400 = ACCO 461"
"000086","ACCO","420","Financial Reporting III","3.00","LEC","Lecture","Course Prerequisite: One of (ACCO320, ACCO326) Never Taken ACCO335; ACCO480","UGRD","ACCO 335 = ACCO 420"
"000089","ACCO","425","FINANCIAL REPORTING IV","3.00","LEC","Lecture","Course Prerequisite: One of (ACCO320, ACCO326) Never Taken: ACCO410","UGRD",""
"000092","ACCO","430","Advanced Management Accounting","3.00","LEC","Lecture","Course Prerequisite: One of (ACCO303, ACCO330) Never Taken ACCO422; ACCO435","UGRD","ACCO 422 = ACCO 430"
"000097","ACCO","435","STRAT ACCTNG CASE ANALYSIS","3.00","LEC","Lecture","   Course Prerequisite: ACCO320, ACCO330; Course Corequisite: COMM401","UGRD","ACCO 435 = ACCO 470A"
"000098","ACCO","440","Advanced Taxation","3.00","LEC","Lecture","Course Prerequisite: One of (ACCO340, ACCO441) Never Taken ACCO442;  ACCO490","UGRD","ACCO 440 = ACCO 442"
"000104","ACCO","450","Assurance Services","3.00","LEC","Lecture","Course Corequisite: One of (ACCO320, ACCO326) Never Taken ACCO429, ACCO432; ACCO465, ACCO470D","UGRD","ACCO 432/ACCO 450/ACCO 360"
"000106","ACCO","455","Fraud Prevention and Investigation","3.00","LEC","Lecture","Course Prerequisite: COMM315 or COMM 316 and One of  following (COMM217, ACCO230)","UGRD","ACCO 455 = ACCO 470F"
"000109","ACCO","465","Advanced Assurance Services","3.00","LEC","Lecture","Course Prerequisite: One of (ACCO 360 or 450) and ACCO 320; Never Taken  ACCO470","UGRD","ACCO 465 = ACCO 470D"
"000173","ACCO","631","BUSINESS ADVISORY SERVICES","4.00","LEC","Lecture","","GRAD",""
"000174","ACCO","635","INTEGRATED APPROACH TO AUDIT","4.00","LEC","Lecture","   Course Prerequisite: ACCO678, ACCO643; Course Corequisite: ACCO613","GRAD",""
"000178","ACCO","651","FINANCIAL REPORTING:COMP APP","4.00","LEC","Lecture","","GRAD",""
"000182","ACCO","672","MANAGEMENT ACCOUNTING II","3.00","LEC","Lecture","","GRAD",""
"000185","ACCO","681","FINAN L ACCO G/REPORT G III","3.00","LEC","Lecture","","GRAD",""
"000186","ACCO","682","COMPREHENSIVE CASE ANALYSIS","3.00","LEC","Lecture","","GRAD",""
"000187","ACCO","685","CASE ANALY/INTEG/EXAM PREP","6.00","LEC","Lecture","You must complete 1 of the following rules  You must complete ALL of the following rules  Course Prerequisite: ACCO613, ACCO631, ACCO635","GRAD",""
"000189","ACCO","690B","ADV EXAM WRITING TECHNIQUES","1.00","LEC","Lecture","","GRAD",""
"000190","ACCO","691","BUSINESS VALUATIONS","3.00","LEC","Lecture","Prerequisite:MBA 642","GRAD",""
"000191","ACCO","695","SEMINAR IN SPECIAL TOPICS","3.00","LEC","Lecture","Prerequisite: MBA 607 or MBA 642","GRAD",""
"040004","ACCO","631T","TUT/BSNSS ADVISORY SERVICES","4.00","LEC","Lecture","","GRAD",""
"040005","ACCO","635T","TUT/INTEGRATED APPRO/AUDIT G","4.00","LEC","Lecture","","GRAD",""
"043001","ACCO","650","FINA REPORTING IN PRACTICE","4.00","LEC","Lecture","Students who have taken ACCO 612 and ACCO 643 may not take this course for credit","GRAD",""
"044001","ACCO","643X","SP TUTORIAL-INCOME TAXATION","1.00","TUT","Tutorial","","GRAD",""
"044002","ACCO","650T","TUTORIAL IN FINA REP/PRACTICE","4.00","LEC","Lecture","","GRAD","ACCO 600 = ACCO 650T"
"044002","ACCO","650T","TUTORIAL IN FINA REP/PRACTICE","4.00","LEC","Lecture","","GRAD",""
"044003","ACCO","651T","TUTORIAL IN FINA REP/COM APP","4.00","LEC","Lecture","","GRAD",""
"044004","ACCO","653","INFO SYS/INTERNAL CONTROL","4.00","LEC","Lecture","   Course Prerequisite: ACCO650, ACCO651","GRAD",""
"045085","ACCO","652","BUSINESS ADVISORY SERVICES","4.00","LEC","Lecture","Course Prerequisite: ACCO650, AntiReq ACCO631","GRAD",""
"045114","ACCO","470","SPECIAL TOPICS IN ACCOUNTING","3.00","LEC","Lecture","","UGRD",""
"045884","ACCO","652T","TUTORIAL IN BUSINESS ADV SER","4.00","LEC","Lecture","","GRAD",""
"045885","ACCO","653T","TUTORIAL IN INF SYS/INT.CONT","4.00","LEC","Lecture","","GRAD",""
"046442","ACCO","471","ACCOUNTING SEMINAR","3.00","LEC","Lecture","","UGRD",""
"046443","ACCO","590","SPECIAL SEMINAR/ACCOUNTING","1.00","LEC","Lecture","","GRAD",""
"046444","ACCO","595","SPECIAL TOPICS IN ACCO","3.00","LEC","Lecture","","GRAD",""
"047353","ACCO","655","Taxation and Decision-Making","4.00","LEC","Lecture","PRE-REQ ACCO 650 and ACCO 651. Anti-Req ACCO 643","GRAD",""
"047354","ACCO","655T","Tutorial in Taxation/Decision making","4.00","LEC","Lecture","","GRAD",""
"047360","ACCO","658","Capstone I Seminar","2.00","LEC","Lecture","Prerequisite: ACCO 650, 651, 652, 653 and two elective courses","GRAD",""
"047361","ACCO","658T","Tutorial in Capstone I Seminar","2.00","LEC","Lecture","","GRAD",""
"047363","ACCO","659","Capstone II Examination Preparation","4.00","LEC","Lecture","Co-requisite: ACCO 658 or ACCO 658T or ACCO 608","GRAD",""
"047364","ACCO","659T","Tutorial in Capstone II Examination","4.00","LEC","Lecture","","GRAD",""
"047367","ACCO","654","Assurance and Professional Practice","4.00","LEC","Lecture","COURSE PRE-REQ ACCO 650, ACCO 651, ACCO 653. Anti-Req ACCO 635","GRAD",""
"047368","ACCO","654T","Tutorial in Assurance and Professional Practice","4.00","LEC","Lecture","","GRAD",""
"047369","ACCO","656","Performance Management","4.00","LEC","Lecture","COURSE PREREQ ACCO 652 and ACCO 653","GRAD",""
"047370","ACCO","656T","Tutorial in Performance Management","4.00","LEC","Lecture","","GRAD",""
"047371","ACCO","657","Financial Strategies and Decisions","4.00","LEC","Lecture","COURSE PREREQ ACCO 652 and ACCO 651","GRAD",""
"047372","ACCO","657T","Tutorial in Financial Strategies and Decisions","4.00","LEC","Lecture","","GRAD",""
"048073","ACCO","692","Managing After-Tax Returns","3.00","LEC","Lecture","ANTI-REQ for ACCO 692","GRAD",""
"048544","ACCO","360","Principles of Auditing","3.00","LEC","Lecture","Course Prerequisite:  COMM 305. Never Taken ACCO 465","UGRD","ACCO 432/ACCO 450/ACCO 360"
"048619","ACCO","495","HONOURS SEMINAR IN ACCOUNTANCY","6.00","LEC","Lecture","Course Prerequisite: ACCO 400 and Enrolment in the honours program","UGRD",""
"048720","ACCO","600","TUTORIAL IN FINA REP/PRACTICE","4.00","LEC","Lecture","Anti-Req ACCO 600","GRAD","ACCO 600 = ACCO 650T"
"048720","ACCO","600","TUTORIAL IN FINA REP/PRACTICE","4.00","LEC","Lecture","Anti-Req ACCO 600","GRAD",""
"048817","ACCO","601","TUTORIAL IN FINA REP/COM APP","4.00","LEC","Lecture","Anti-Req ACCO601","GRAD","ACCO 601 = ACCO 651T"
"048824","ACCO","602","TUTORIAL IN BUSINESS ADV SER","4.00","LEC","Lecture","Not ACCO652T","GRAD","ACCO 602 = ACCO 652T"
"048824","ACCO","602","TUTORIAL IN BUSINESS ADV SER","4.00","LEC","Lecture","Not ACCO652T","GRAD",""
"048825","ACCO","603","TUTORIAL IN INF SYS/INT.CONT","4.00","LEC","Lecture","Not ACCO653T","GRAD","ACCO 603 = ACCO 653T"
"048826","ACCO","604","Tutorial in Assurance and Professional Practice","4.00","LEC","Lecture","Not ACCO654T","GRAD","ACCO 604 = ACCO 654T"
"048827","ACCO","605","Tutorial in Taxation/Decision making","4.00","LEC","Lecture","Not ACCO655T","GRAD","ACCO 605 = ACCO 655T"
"048828","ACCO","606","Tutorial in Performance Management","4.00","LEC","Lecture","Not ACCO 656T","GRAD","ACCO 606 = ACCO 656T"
"048829","ACCO","607","Tutorial in Financial Strategies and Decisions","4.00","LEC","Lecture","Not ACCO657T","GRAD","ACCO 607 = ACCO 657T"
"048830","ACCO","608","Tutorial in Capstone I Seminar","2.00","LEC","Lecture","Not ACCO658T","GRAD","ACCO 608 = ACCO 658T"
"048831","ACCO","609","Tutorial in Capstone II Examination","4.00","LEC","Lecture","Not ACCO659T","GRAD","ACCO 609 = ACCO 659T"
"050726","ACCO","496","Accounting Research Methods","3.00","LEC","Lecture","Course Prerequisite: ACCO 400 and Enrolment in the honours program","UGRD",""
"047731","ACTT","231","Ensemble I","3.00","LAB","Laboratory","","UGRD","TPER 298 = ACTT 231"
"047731","ACTT","231","Ensemble I","3.00","STU","Studio","","UGRD","TPER 298 = ACTT 231"
"047732","ACTT","332","Improvisation","3.00","STU","Studio","Prerequisite ACTT 332","UGRD",""
"047733","ACTT","432","Rasaboxes","3.00","STU","Studio","Prerequisite ACTT 432","UGRD","TPER 398F = ACTT 432"
"047734","ACTT","436","One-Act Project","3.00","LAB","Laboratory","","UGRD",""
"047734","ACTT","436","One-Act Project","3.00","STU","Studio","","UGRD",""
"047735","ACTT","440","Supervised Acting Performance Project","3.00","LAB","Laboratory","","UGRD",""
"047735","ACTT","440","Supervised Acting Performance Project","3.00","STU","Studio","","UGRD",""
"047738","ACTT","450","Advanced Acting Studio","3.00","LAB","Laboratory","Prerequisite: ACTT 321, 325","UGRD",""
"047738","ACTT","450","Advanced Acting Studio","3.00","STU","Studio","Prerequisite: ACTT 321, 325","UGRD",""
"047740","ACTT","480","Designing an Acting Workshop","3.00","STU","Studio","","UGRD","TDEV 498 = ACTT 480"
"047741","ACTT","481","Conducting an Acting Workshop","3.00","LAB","Laboratory","","UGRD","TDEV 498 = ACTT 481"
"047741","ACTT","481","Conducting an Acting Workshop","3.00","STU","Studio","","UGRD","TDEV 498 = ACTT 481"
"047760","ACTT","460","Classical Text Project","3.00","LAB","Laboratory","","UGRD","PROD 411 = ACTT 460"
"047760","ACTT","460","Classical Text Project","3.00","STU","Studio","","UGRD","PROD 411 = ACTT 460"
"047761","ACTT","465","THE ACTOR'S PROFESSION","3.00","LAB","Laboratory","for students who have completed 48 credits.","UGRD","PROD 412 = ACTT 465"
"047761","ACTT","465","THE ACTOR'S PROFESSION","3.00","STU","Studio","for students who have completed 48 credits.","UGRD","PROD 412 = ACTT 465"
"047848","ACTT","201","Introduction to Acting I","3.00","LAB","Laboratory","anti req for ACTT 201","UGRD","TPER 201 = ACTT 201"
"047848","ACTT","201","Introduction to Acting I","3.00","STU","Studio","anti req for ACTT 201","UGRD","TPER 201 = ACTT 201"
"047849","ACTT","202","Introduction to Acting II","3.00","LAB","Laboratory","prereq for ACTT 202","UGRD","TPER 202 = ACTT 202"
"047849","ACTT","202","Introduction to Acting II","3.00","STU","Studio","prereq for ACTT 202","UGRD","TPER 202 = ACTT 202"
"047850","ACTT","209","The Engaged Theatre Artist","3.00","LAB","Laboratory","","UGRD","TPER 209 = ACTT 209"
"047850","ACTT","209","The Engaged Theatre Artist","3.00","STU","Studio","","UGRD","TPER 209 = ACTT 209"
"047851","ACTT","210","Scene Study I","3.00","LAB","Laboratory","pre req for ACTT 210","UGRD","TPER 210 = ACTT 210"
"047851","ACTT","210","Scene Study I","3.00","STU","Studio","pre req for ACTT 210","UGRD","TPER 210 = ACTT 210"
"047852","ACTT","211","Voice and Movement for the Stage I","3.00","LAB","Laboratory","","UGRD","TPER 231 = ACTT 211"
"047852","ACTT","211","Voice and Movement for the Stage I","3.00","STU","Studio","","UGRD","TPER 231 = ACTT 211"
"047854","ACTT","298","Special Topics in Acting","3.00","STU","Studio","","UGRD",""
